Rodando fsm-lite v1_0 saida TXT: para 250 amostras com 600 de maximo as 2025-08-04_13-13-13.
timestamp	cpu	mem	vsz	rss
1754323993	0.0	0.0	2500	652
1754323993	0,00	105	0,00	0,00
1754324024	0.0	0.0	2500	652
1754324024	0,00	105	0,00	0,00
1754324055	0.0	0.0	2500	652
1754324055	0,00	105	0,00	0,00
1754324086	0.0	0.0	2500	652
1754324086	0,00	105	0,00	0,00
1754324117	0.0	0.0	2500	652
1754324117	0,00	105	0,00	0,00
1754324148	0.0	0.0	2500	652
1754324148	0,00	105	0,00	0,00
1754324179	0.0	0.0	2500	652
1754324179	0,00	105	0,00	0,00
1754324211	0.0	0.0	2500	652
1754324211	0,00	105	0,00	0,00
1754324242	0.0	0.0	2500	652
1754324242	0,00	105	0,00	0,00
1754324273	0.0	0.0	2500	652
1754324273	0,00	105	0,00	0,00
1754324304	0.0	0.0	2500	652
1754324304	0,00	105	0,00	0,00
1754324335	0.0	0.0	2500	652
1754324335	0,00	105	0,00	0,00
1754324366	0.0	0.0	2500	652
1754324366	0,00	105	0,00	0,00
1754324397	0.0	0.0	2500	652
1754324397	0,00	105	0,00	0,00
1754324428	0.0	0.0	2500	652
1754324428	0,00	105	0,00	0,00
1754324460	0.0	0.0	2500	652
1754324460	0,00	105	0,00	0,00
1754324491	0.0	0.0	2500	652
1754324491	0,00	105	0,00	0,00
1754324522	0.0	0.0	2500	652
1754324522	0,00	105	0,00	0,00
1754324553	0.0	0.0	2500	652
1754324553	0,00	105	0,00	0,00
1754324584	0.0	0.0	2500	652
1754324584	0,00	105	0,00	0,00
1754324615	0.0	0.0	2500	652
1754324615	0,00	105	0,00	0,00
1754324647	0.0	0.0	2500	652
1754324647	0,00	105	0,00	0,00
1754324678	0.0	0.0	2500	652
1754324678	0,00	105	0,00	0,00
1754324709	0.0	0.0	2500	652
1754324709	0,00	105	0,00	0,00
1754324740	0.0	0.0	2500	652
1754324740	0,00	105	0,00	0,00
1754324771	0.0	0.0	2500	652
1754324771	0,00	105	0,00	0,00
1754324802	0.0	0.0	2500	652
1754324802	0,00	105	0,00	0,00
1754324833	0.0	0.0	2500	652
1754324833	0,00	105	0,00	0,00
1754324864	0.0	0.0	2500	652
1754324864	0,00	105	0,00	0,00
1754324896	0.0	0.0	2500	652
1754324896	0,00	105	0,00	0,00
1754324927	0.0	0.0	2500	652
1754324927	0,00	105	0,00	0,00
1754324958	0.0	0.0	2500	652
1754324958	0,00	105	0,00	0,00
1754324989	0.0	0.0	2500	652
1754324989	0,00	105	0,00	0,00
1754325020	0.0	0.0	2500	652
1754325020	0,00	105	0,00	0,00
1754325051	0.0	0.0	2500	652
1754325051	0,00	105	0,00	0,00
1754325082	0.0	0.0	2500	652
1754325082	0,00	105	0,00	0,00
1754325114	0.0	0.0	2500	652
1754325114	0,00	105	0,00	0,00
1754325145	0.0	0.0	2500	652
1754325145	0,00	105	0,00	0,00
1754325176	0.0	0.0	2500	652
1754325176	0,00	105	0,00	0,00
1754325207	0.0	0.0	2500	652
1754325207	0,00	105	0,00	0,00
1754325238	0.0	0.0	2500	652
1754325238	0,00	105	0,00	0,00
1754325269	0.0	0.0	2500	652
1754325269	0,00	105	0,00	0,00
1754325300	0.0	0.0	2500	652
1754325300	0,00	105	0,00	0,00
1754325332	0.0	0.0	2500	652
1754325332	0,00	105	0,00	0,00
1754325363	0.0	0.0	2500	652
1754325363	0,00	105	0,00	0,00
1754325394	0.0	0.0	2500	652
1754325394	0,00	105	0,00	0,00
1754325425	0.0	0.0	2500	652
1754325425	0,00	105	0,00	0,00
1754325456	0.0	0.0	2500	652
1754325456	0,00	105	0,00	0,00
1754325487	0.0	0.0	2500	652
1754325487	0,00	105	0,00	0,00
1754325518	0.0	0.0	2500	652
1754325518	0,00	105	0,00	0,00
1754325549	0.0	0.0	2500	652
1754325549	0,00	105	0,00	0,00
1754325581	0.0	0.0	2500	652
1754325581	0,00	105	0,00	0,00
1754325612	0.0	0.0	2500	652
1754325612	0,00	105	0,00	0,00
1754325643	0.0	0.0	2500	652
1754325643	0,00	105	0,00	0,00
1754325674	0.0	0.0	2500	652
1754325674	0,00	105	0,00	0,00
1754325705	0.0	0.0	2500	652
1754325705	0,00	105	0,00	0,00
1754325736	0.0	0.0	2500	652
1754325736	0,00	105	0,00	0,00
1754325767	0.0	0.0	2500	652
1754325767	0,00	105	0,00	0,00
1754325799	0.0	0.0	2500	652
1754325799	0,00	105	0,00	0,00
1754325830	0.0	0.0	2500	652
1754325830	0,00	105	0,00	0,00
1754325861	0.0	0.0	2500	652
1754325861	0,00	105	0,00	0,00
1754325892	0.0	0.0	2500	652
1754325892	0,00	105	0,00	0,00
1754325923	0.0	0.0	2500	652
1754325923	0,00	105	0,00	0,00
1754325954	0.0	0.0	2500	652
1754325954	0,00	105	0,00	0,00
1754325985	0.0	0.0	2500	652
1754325985	0,00	105	0,00	0,00
1754326016	0.0	0.0	2500	652
1754326016	0,00	105	0,00	0,00
1754326048	0.0	0.0	2500	652
1754326048	0,00	105	0,00	0,00
1754326079	0.0	0.0	2500	652
1754326079	0,00	105	0,00	0,00
1754326110	0.0	0.0	2500	652
1754326110	0,00	105	0,00	0,00
1754326141	0.0	0.0	2500	652
1754326141	0,00	105	0,00	0,00
1754326172	0.0	0.0	2500	652
1754326172	0,00	105	0,00	0,00
1754326203	0.0	0.0	2500	652
1754326203	0,00	105	0,00	0,00
1754326234	0.0	0.0	2500	652
1754326234	0,00	105	0,00	0,00
1754326266	0.0	0.0	2500	652
