Rodando fsm-lite para 100 amostras.
timestamp	cpu	mem	vsz	rss
1754178546	0.0	0.0	2500	720
1754178546	0,00	104	0,00	0,00
1754178577	0.0	0.0	2500	720
1754178577	0,00	104	0,00	0,00
1754178608	0.0	0.0	2500	720
1754178608	0,00	104	0,00	0,00
1754178639	0.0	0.0	2500	720
1754178639	0,00	104	0,00	0,00
1754178671	0.0	0.0	2500	720
1754178671	0,00	104	0,00	0,00
1754178702	0.0	0.0	2500	720
1754178702	0,00	104	0,00	0,00
1754178733	0.0	0.0	2500	720
1754178733	0,00	104	0,00	0,00
1754178764	0.0	0.0	2500	720
1754178764	0,00	104	0,00	0,00
1754178795	0.0	0.0	2500	720
1754178795	0,00	104	0,00	0,00
1754178826	0.0	0.0	2500	720
1754178826	0,00	104	0,00	0,00
1754178857	0.0	0.0	2500	720
1754178857	0,00	104	0,00	0,00
1754178888	0.0	0.0	2500	720
1754178888	0,00	104	0,00	0,00
1754178920	0.0	0.0	2500	720
1754178920	0,00	104	0,00	0,00
1754178951	0.0	0.0	2500	720
1754178951	0,00	104	0,00	0,00
1754178982	0.0	0.0	2500	720
1754178982	0,00	104	0,00	0,00
1754179013	0.0	0.0	2500	720
1754179013	0,00	104	0,00	0,00
1754179044	0.0	0.0	2500	720
1754179044	0,00	104	0,00	0,00
1754179075	0.0	0.0	2500	720
1754179075	0,00	104	0,00	0,00
1754179106	0.0	0.0	2500	720
1754179106	0,00	104	0,00	0,00
1754179138	0.0	0.0	2500	720
1754179138	0,00	104	0,00	0,00
1754179169	0.0	0.0	2500	720
1754179169	0,00	104	0,00	0,00
1754179200	0.0	0.0	2500	720
1754179200	0,00	104	0,00	0,00
1754179231	0.0	0.0	2500	720
1754179231	0,00	104	0,00	0,00
1754179262	0.0	0.0	2500	720
1754179262	0,00	104	0,00	0,00
1754179293	0.0	0.0	2500	720
1754179293	0,00	104	0,00	0,00
1754179324	0.0	0.0	2500	720
1754179324	0,00	104	0,00	0,00
1754179356	0.0	0.0	2500	720
1754179356	0,00	104	0,00	0,00
1754179387	0.0	0.0	2500	720
1754179387	0,00	104	0,00	0,00
1754179418	0.0	0.0	2500	720
1754179418	0,00	104	0,00	0,00
1754179449	0.0	0.0	2500	720
1754179449	0,00	104	0,00	0,00
1754179480	0.0	0.0	2500	720
1754179480	0,00	104	0,00	0,00
1754179511	0.0	0.0	2500	720
1754179511	0,00	104	0,00	0,00
1754179542	0.0	0.0	2500	720
1754179542	0,00	104	0,00	0,00
1754179573	0.0	0.0	2500	720
1754179573	0,00	104	0,00	0,00
1754179605	0.0	0.0	2500	720
1754179605	0,00	104	0,00	0,00
1754179636	0.0	0.0	2500	720
1754179636	0,00	104	0,00	0,00
1754179667	0.0	0.0	2500	720
1754179667	0,00	104	0,00	0,00
1754179698	0.0	0.0	2500	720
1754179698	0,00	104	0,00	0,00
1754179729	0.0	0.0	2500	720
1754179729	0,00	104	0,00	0,00
1754179760	0.0	0.0	2500	720
1754179760	0,00	104	0,00	0,00
1754179791	0.0	0.0	2500	720
1754179791	0,00	104	0,00	0,00
1754179822	0.0	0.0	2500	720
1754179822	0,00	104	0,00	0,00
1754179854	0.0	0.0	2500	720
1754179854	0,00	104	0,00	0,00
1754179885	0.0	0.0	2500	720
1754179885	0,00	104	0,00	0,00
1754179916	0.0	0.0	2500	720
1754179916	0,00	104	0,00	0,00
1754179947	0.0	0.0	2500	720
1754179947	0,00	104	0,00	0,00
1754179978	0.0	0.0	2500	720
1754179978	0,00	104	0,00	0,00
1754180009	0.0	0.0	2500	720
1754180009	0,00	104	0,00	0,00
1754180040	0.0	0.0	2500	720
1754180040	0,00	104	0,00	0,00
1754180071	0.0	0.0	2500	720
1754180071	0,00	104	0,00	0,00
1754180103	0.0	0.0	2500	720
1754180103	0,00	104	0,00	0,00
1754180134	0.0	0.0	2500	720
1754180134	0,00	104	0,00	0,00
1754180165	0.0	0.0	2500	720
1754180165	0,00	104	0,00	0,00
1754180196	0.0	0.0	2500	720
1754180196	0,00	104	0,00	0,00
1754180227	0.0	0.0	2500	720
1754180227	0,00	104	0,00	0,00
1754180258	0.0	0.0	2500	720
1754180258	0,00	104	0,00	0,00
1754180289	0.0	0.0	2500	720
1754180289	0,00	104	0,00	0,00
1754180321	0.0	0.0	2500	720
1754180321	0,00	104	0,00	0,00
1754180352	0.0	0.0	2500	720
1754180352	0,00	104	0,00	0,00
1754180383	0.0	0.0	2500	720
1754180383	0,00	104	0,00	0,00
1754180414	0.0	0.0	2500	720
1754180414	0,00	104	0,00	0,00
