Rodando fsm-lite GZ: para 25 amostras com 200 de maximo as 2025-08-03_00-10-10.
timestamp	cpu	mem	vsz	rss
1754190610	0.0	0.0	9640	1812
1754190610	0,00	160	0,00	0,00
1754190642	0.0	0.0	9640	1812
1754190642	0,00	160	0,00	0,00
1754190673	0.0	0.0	9640	1812
1754190673	0,00	160	0,00	0,00
1754190704	0.0	0.0	9640	1812
1754190704	0,00	160	0,00	0,00
1754190735	0.0	0.0	9640	1812
1754190735	0,00	160	0,00	0,00
1754190766	0.0	0.0	9640	1812
1754190766	0,00	160	0,00	0,00
1754190797	0.0	0.0	9640	1812
1754190797	0,00	160	0,00	0,00
1754190828	0.0	0.0	9640	1812
1754190828	0,00	160	0,00	0,00
1754190859	0.0	0.0	9640	1812
1754190859	0,00	160	0,00	0,00
1754190891	0.0	0.0	9640	1812
1754190891	0,00	160	0,00	0,00
1754190922	0.0	0.0	9640	1812
1754190922	0,00	160	0,00	0,00
1754190953	0.0	0.0	9640	1812
1754190953	0,00	160	0,00	0,00
