Rodando fsm-lite TXT: para 100 amostras com 200 de maximo as 2025-08-03_04-15-05.
timestamp	cpu	mem	vsz	rss
1754205305	0.0	0.0	2500	720
1754205305	0,00	87	0,00	0,00
1754205336	0.0	0.0	2500	720
1754205336	0,00	87	0,00	0,00
1754205367	0.0	0.0	2500	720
1754205367	0,00	87	0,00	0,00
1754205398	0.0	0.0	2500	720
1754205398	0,00	87	0,00	0,00
1754205430	0.0	0.0	2500	720
1754205430	0,00	87	0,00	0,00
1754205461	0.0	0.0	2500	720
1754205461	0,00	87	0,00	0,00
1754205492	0.0	0.0	2500	720
1754205492	0,00	87	0,00	0,00
1754205523	0.0	0.0	2500	720
1754205523	0,00	87	0,00	0,00
1754205554	0.0	0.0	2500	720
1754205554	0,00	87	0,00	0,00
1754205585	0.0	0.0	2500	720
1754205585	0,00	87	0,00	0,00
1754205616	0.0	0.0	2500	720
1754205616	0,00	87	0,00	0,00
1754205648	0.0	0.0	2500	720
1754205648	0,00	87	0,00	0,00
1754205679	0.0	0.0	2500	720
1754205679	0,00	87	0,00	0,00
1754205710	0.0	0.0	2500	720
1754205710	0,00	87	0,00	0,00
1754205741	0.0	0.0	2500	720
1754205741	0,00	87	0,00	0,00
1754205772	0.0	0.0	2500	720
1754205772	0,00	87	0,00	0,00
1754205803	0.0	0.0	2500	720
1754205803	0,00	87	0,00	0,00
1754205834	0.0	0.0	2500	720
1754205834	0,00	87	0,00	0,00
1754205866	0.0	0.0	2500	720
1754205866	0,00	87	0,00	0,00
1754205897	0.0	0.0	2500	720
1754205897	0,00	87	0,00	0,00
1754205928	0.0	0.0	2500	720
1754205928	0,00	87	0,00	0,00
1754205959	0.0	0.0	2500	720
1754205959	0,00	87	0,00	0,00
1754205990	0.0	0.0	2500	720
1754205990	0,00	87	0,00	0,00
1754206021	0.0	0.0	2500	720
1754206021	0,00	87	0,00	0,00
1754206052	0.0	0.0	2500	720
1754206052	0,00	87	0,00	0,00
1754206083	0.0	0.0	2500	720
1754206083	0,00	87	0,00	0,00
1754206115	0.0	0.0	2500	720
1754206115	0,00	87	0,00	0,00
1754206146	0.0	0.0	2500	720
1754206146	0,00	87	0,00	0,00
1754206177	0.0	0.0	2500	720
1754206177	0,00	87	0,00	0,00
1754206208	0.0	0.0	2500	720
1754206208	0,00	87	0,00	0,00
1754206239	0.0	0.0	2500	720
1754206239	0,00	87	0,00	0,00
1754206270	0.0	0.0	2500	720
1754206270	0,00	87	0,00	0,00
1754206301	0.0	0.0	2500	720
1754206301	0,00	87	0,00	0,00
1754206332	0.0	0.0	2500	720
1754206332	0,00	87	0,00	0,00
1754206364	0.0	0.0	2500	720
1754206364	0,00	87	0,00	0,00
1754206395	0.0	0.0	2500	720
1754206395	0,00	87	0,00	0,00
1754206426	0.0	0.0	2500	720
1754206426	0,00	87	0,00	0,00
1754206457	0.0	0.0	2500	720
1754206457	0,00	87	0,00	0,00
1754206488	0.0	0.0	2500	720
1754206488	0,00	87	0,00	0,00
1754206519	0.0	0.0	2500	720
1754206519	0,00	87	0,00	0,00
1754206550	0.0	0.0	2500	720
1754206550	0,00	87	0,00	0,00
1754206582	0.0	0.0	2500	720
1754206582	0,00	87	0,00	0,00
1754206613	0.0	0.0	2500	720
1754206613	0,00	87	0,00	0,00
1754206644	0.0	0.0	2500	720
1754206644	0,00	87	0,00	0,00
1754206675	0.0	0.0	2500	720
1754206675	0,00	87	0,00	0,00
1754206706	0.0	0.0	2500	720
1754206706	0,00	87	0,00	0,00
1754206737	0.0	0.0	2500	720
1754206737	0,00	87	0,00	0,00
1754206768	0.0	0.0	2500	720
1754206768	0,00	87	0,00	0,00
