Rodando fsm-lite v1_0 saida TXT: para 100 amostras com 50 de maximo as 2025-08-04_05-50-03.
timestamp	cpu	mem	vsz	rss
1754297403	0.0	0.0	2500	656
1754297403	0,00	26	0,00	0,00
1754297434	0.0	0.0	2500	656
1754297434	0,00	26	0,00	0,00
1754297465	0.0	0.0	2500	656
1754297465	0,00	26	0,00	0,00
1754297496	0.0	0.0	2500	656
1754297496	0,00	26	0,00	0,00
1754297527	0.0	0.0	2500	656
1754297527	0,00	26	0,00	0,00
1754297559	0.0	0.0	2500	656
1754297559	0,00	26	0,00	0,00
1754297590	0.0	0.0	2500	656
1754297590	0,00	26	0,00	0,00
1754297621	0.0	0.0	2500	656
1754297621	0,00	26	0,00	0,00
1754297652	0.0	0.0	2500	656
1754297652	0,00	26	0,00	0,00
1754297683	0.0	0.0	2500	656
1754297683	0,00	26	0,00	0,00
1754297714	0.0	0.0	2500	656
1754297714	0,00	26	0,00	0,00
1754297745	0.0	0.0	2500	656
1754297745	0,00	26	0,00	0,00
1754297776	0.0	0.0	2500	656
1754297776	0,00	26	0,00	0,00
1754297808	0.0	0.0	2500	656
1754297808	0,00	26	0,00	0,00
1754297839	0.0	0.0	2500	656
1754297839	0,00	26	0,00	0,00
1754297870	0.0	0.0	2500	656
1754297870	0,00	26	0,00	0,00
1754297901	0.0	0.0	2500	656
1754297901	0,00	26	0,00	0,00
1754297932	0.0	0.0	2500	656
1754297932	0,00	26	0,00	0,00
1754297963	0.0	0.0	2500	656
1754297963	0,00	26	0,00	0,00
1754297994	0.0	0.0	2500	656
1754297994	0,00	26	0,00	0,00
1754298025	0.0	0.0	2500	656
1754298025	0,00	26	0,00	0,00
1754298057	0.0	0.0	2500	656
1754298057	0,00	26	0,00	0,00
1754298088	0.0	0.0	2500	656
1754298088	0,00	26	0,00	0,00
1754298119	0.0	0.0	2500	656
1754298119	0,00	26	0,00	0,00
1754298150	0.0	0.0	2500	656
1754298150	0,00	26	0,00	0,00
1754298181	0.0	0.0	2500	656
1754298181	0,00	26	0,00	0,00
1754298212	0.0	0.0	2500	656
1754298212	0,00	26	0,00	0,00
1754298243	0.0	0.0	2500	656
1754298243	0,00	26	0,00	0,00
1754298275	0.0	0.0	2500	656
1754298275	0,00	26	0,00	0,00
1754298306	0.0	0.0	2500	656
1754298306	0,00	26	0,00	0,00
1754298337	0.0	0.0	2500	656
1754298337	0,00	26	0,00	0,00
1754298368	0.0	0.0	2500	656
1754298368	0,00	26	0,00	0,00
1754298399	0.0	0.0	2500	656
1754298399	0,00	26	0,00	0,00
1754298430	0.0	0.0	2500	656
1754298430	0,00	26	0,00	0,00
1754298461	0.0	0.0	2500	656
1754298461	0,00	26	0,00	0,00
1754298492	0.0	0.0	2500	656
1754298492	0,00	26	0,00	0,00
1754298524	0.0	0.0	2500	656
1754298524	0,00	26	0,00	0,00
1754298555	0.0	0.0	2500	656
1754298555	0,00	26	0,00	0,00
1754298586	0.0	0.0	2500	656
1754298586	0,00	26	0,00	0,00
1754298617	0.0	0.0	2500	656
1754298617	0,00	26	0,00	0,00
1754298648	0.0	0.0	2500	656
1754298648	0,00	26	0,00	0,00
1754298679	0.0	0.0	2500	656
1754298679	0,00	26	0,00	0,00
1754298710	0.0	0.0	2500	656
1754298710	0,00	26	0,00	0,00
1754298741	0.0	0.0	2500	656
1754298741	0,00	26	0,00	0,00
1754298773	0.0	0.0	2500	656
1754298773	0,00	26	0,00	0,00
1754298804	0.0	0.0	2500	656
1754298804	0,00	26	0,00	0,00
1754298835	0.0	0.0	2500	656
1754298835	0,00	26	0,00	0,00
1754298866	0.0	0.0	2500	656
1754298866	0,00	26	0,00	0,00
