Rodando fsm-lite v1_0 saida TXT: para 25 amostras com 600 de maximo as 2025-08-03_17-50-32.
timestamp	cpu	mem	vsz	rss
1754254232	0.0	0.0	2500	656
1754254232	0,00	87	0,00	0,00
1754254263	0.0	0.0	2500	656
1754254263	0,00	87	0,00	0,00
1754254294	0.0	0.0	2500	656
1754254294	0,00	87	0,00	0,00
1754254325	0.0	0.0	2500	656
1754254325	0,00	87	0,00	0,00
1754254357	0.0	0.0	2500	656
1754254357	0,00	87	0,00	0,00
1754254388	0.0	0.0	2500	656
1754254388	0,00	87	0,00	0,00
1754254419	0.0	0.0	2500	656
1754254419	0,00	87	0,00	0,00
1754254450	0.0	0.0	2500	656
1754254450	0,00	87	0,00	0,00
1754254481	0.0	0.0	2500	656
1754254481	0,00	87	0,00	0,00
1754254512	0.0	0.0	2500	656
1754254512	0,00	87	0,00	0,00
1754254543	0.0	0.0	2500	656
1754254543	0,00	87	0,00	0,00
1754254574	0.0	0.0	2500	656
1754254574	0,00	87	0,00	0,00
