Rodando fsm-lite v1_0 saida GZ: para 50 amostras com 50 de maximo as 2025-08-04_03-46-02.
timestamp	cpu	mem	vsz	rss
1754289962	0.0	0.0	9640	1752
1754289962	0,00	7	0,00	0,00
1754289994	0.0	0.0	9640	1752
1754289994	0,00	7	0,00	0,00
1754290025	0.0	0.0	9640	1752
1754290025	0,00	7	0,00	0,00
1754290056	0.0	0.0	9640	1752
1754290056	0,00	7	0,00	0,00
1754290087	0.0	0.0	9640	1752
1754290087	0,00	7	0,00	0,00
1754290118	0.0	0.0	9640	1752
1754290118	0,00	7	0,00	0,00
1754290149	0.0	0.0	9640	1752
1754290149	0,00	7	0,00	0,00
1754290180	0.0	0.0	9640	1752
1754290180	0,00	7	0,00	0,00
1754290211	0.0	0.0	9640	1752
1754290211	0,00	7	0,00	0,00
1754290243	0.0	0.0	9640	1752
1754290243	0,00	7	0,00	0,00
1754290274	0.0	0.0	9640	1752
1754290274	0,00	7	0,00	0,00
1754290305	0.0	0.0	9640	1752
1754290305	0,00	7	0,00	0,00
1754290336	0.0	0.0	9640	1752
1754290336	0,00	7	0,00	0,00
1754290367	0.0	0.0	9640	1752
1754290367	0,00	7	0,00	0,00
1754290398	0.0	0.0	9640	1752
1754290398	0,00	7	0,00	0,00
1754290429	0.0	0.0	9640	1752
1754290429	0,00	7	0,00	0,00
1754290461	0.0	0.0	9640	1752
1754290461	0,00	7	0,00	0,00
1754290492	0.0	0.0	9640	1752
1754290492	0,00	7	0,00	0,00
1754290523	0.0	0.0	9640	1752
1754290523	0,00	7	0,00	0,00
1754290554	0.0	0.0	9640	1752
1754290554	0,00	7	0,00	0,00
1754290585	0.0	0.0	9640	1752
1754290585	0,00	7	0,00	0,00
1754290616	0.0	0.0	9640	1752
1754290616	0,00	7	0,00	0,00
1754290647	0.0	0.0	9640	1752
1754290647	0,00	7	0,00	0,00
1754290678	0.0	0.0	9640	1752
1754290678	0,00	7	0,00	0,00
1754290710	0.0	0.0	9640	1752
1754290710	0,00	7	0,00	0,00
1754290741	0.0	0.0	9640	1752
1754290741	0,00	7	0,00	0,00
1754290772	0.0	0.0	9640	1752
1754290772	0,00	7	0,00	0,00
1754290803	0.0	0.0	9640	1752
1754290803	0,00	7	0,00	0,00
1754290834	0.0	0.0	9640	1752
1754290834	0,00	7	0,00	0,00
