"arquivo","versao","genomas","max_param","tipo_output","timestamp","elapsed_sec","user_time","system_time","cpu_percent","max_rss_mb"
"fsm_output_log_v1_0_100genomas_10_max_GZ--2025-08-04_05-25-09.txt","v1_0",100,10,"GZ","2025-08-04_05-25-09",1474.04,1430.14,36.96,99,7734.21
"fsm_output_log_v1_0_100genomas_10_max_TXT--2025-08-04_05-00-14.txt","v1_0",100,10,"TXT","2025-08-04_05-00-14",1480.63,1435.44,36.94,99,7734.09
"fsm_output_log_v1_0_100genomas_200_max_GZ--2025-08-04_07-05-17.txt","v1_0",100,200,"GZ","2025-08-04_07-05-17",1492,1437.98,38.02,98,7734.08
"fsm_output_log_v1_0_100genomas_200_max_TXT--2025-08-04_06-39-51.txt","v1_0",100,200,"TXT","2025-08-04_06-39-51",1495.59,1435.16,42.12,98,7734.14
"fsm_output_log_v1_0_100genomas_50_max_GZ--2025-08-04_06-14-57.txt","v1_0",100,50,"GZ","2025-08-04_06-14-57",1486.9,1442.17,37.7,99,7734.15
"fsm_output_log_v1_0_100genomas_50_max_TXT--2025-08-04_05-50-03.txt","v1_0",100,50,"TXT","2025-08-04_05-50-03",1484.34,1440.23,35.44,99,7734.15
"fsm_output_log_v1_0_100genomas_600_max_GZ--2025-08-04_07-55-37.txt","v1_0",100,600,"GZ","2025-08-04_07-55-37",1504.46,1455.12,40.51,99,7734.16
"fsm_output_log_v1_0_100genomas_600_max_TXT--2025-08-04_07-30-11.txt","v1_0",100,600,"TXT","2025-08-04_07-30-11",1501.68,1440.61,38.52,98,7734.44
"fsm_output_log_v1_0_10genomas_10_max_GZ--2025-08-04_01-37-52.txt","v1_0",10,10,"GZ","2025-08-04_01-37-52",302.45,297.49,3.58,99,748.07
"fsm_output_log_v1_0_10genomas_10_max_TXT--2025-08-04_01-32-41.txt","v1_0",10,10,"TXT","2025-08-04_01-32-41",300.91,293.76,4.5,99,748.01
"fsm_output_log_v1_0_10genomas_200_max_GZ--2025-08-04_01-57-05.txt","v1_0",10,200,"GZ","2025-08-04_01-57-05",314.47,310.03,3.4,99,748.07
"fsm_output_log_v1_0_10genomas_200_max_TXT--2025-08-04_01-52-24.txt","v1_0",10,200,"TXT","2025-08-04_01-52-24",270.4,263.46,4.58,99,748.04
"fsm_output_log_v1_0_10genomas_50_max_GZ--2025-08-04_01-47-44.txt","v1_0",10,50,"GZ","2025-08-04_01-47-44",271.51,267,3.6,99,748.07
"fsm_output_log_v1_0_10genomas_50_max_TXT--2025-08-04_01-43-04.txt","v1_0",10,50,"TXT","2025-08-04_01-43-04",268.27,260.93,4.61,98,748.19
"fsm_output_log_v1_0_10genomas_600_max_GZ--2025-08-04_02-07-27.txt","v1_0",10,600,"GZ","2025-08-04_02-07-27",269.22,264.82,3.44,99,747.95
"fsm_output_log_v1_0_10genomas_600_max_TXT--2025-08-04_02-02-47.txt","v1_0",10,600,"TXT","2025-08-04_02-02-47",280.01,273.05,4.48,99,748.04
"fsm_output_log_v1_0_25genomas_10_max_GZ--2025-08-04_02-18-21.txt","v1_0",25,10,"GZ","2025-08-04_02-18-21",348.22,338.76,7.49,99,1794.68
"fsm_output_log_v1_0_25genomas_10_max_TXT--2025-08-04_02-12-07.txt","v1_0",25,10,"TXT","2025-08-04_02-12-07",350.18,340.13,8.04,99,1794.5
"fsm_output_log_v1_0_25genomas_200_max_GZ--2025-08-04_02-43-15.txt","v1_0",25,200,"GZ","2025-08-04_02-43-15",352.08,341.76,8.54,99,1794.45
"fsm_output_log_v1_0_25genomas_200_max_TXT--2025-08-04_02-37-02.txt","v1_0",25,200,"TXT","2025-08-04_02-37-02",359.97,349.29,8.05,99,1794.52
"fsm_output_log_v1_0_25genomas_50_max_GZ--2025-08-04_02-30-48.txt","v1_0",25,50,"GZ","2025-08-04_02-30-48",366.31,356.18,8.03,99,1794.47
"fsm_output_log_v1_0_25genomas_50_max_TXT--2025-08-04_02-24-35.txt","v1_0",25,50,"TXT","2025-08-04_02-24-35",347.99,338.93,7.3,99,1794.58
"fsm_output_log_v1_0_25genomas_600_max_GZ--2025-08-04_02-55-43.txt","v1_0",25,600,"GZ","2025-08-04_02-55-43",349.18,338.81,8.58,99,1794.46
"fsm_output_log_v1_0_25genomas_600_max_TXT--2025-08-04_02-49-29.txt","v1_0",25,600,"TXT","2025-08-04_02-49-29",349.07,339.41,7.71,99,1794.6
