Rodando fsm-lite v1_0 saida TXT: para 25 amostras com 600 de maximo as 2025-08-14_16-05-42.
timestamp	cpu	mem	vsz	rss
1755198342	0.0	0.0	2500	652
1755198342	0,00	5	0,00	0,00
1755198373	0.0	0.0	2500	652
1755198373	0,00	5	0,00	0,00
1755198404	0.0	0.0	2500	652
1755198404	0,00	5	0,00	0,00
1755198435	0.0	0.0	2500	652
1755198435	0,00	5	0,00	0,00
1755198467	0.0	0.0	2500	652
1755198467	0,00	5	0,00	0,00
1755198498	0.0	0.0	2500	652
1755198498	0,00	5	0,00	0,00
1755198529	0.0	0.0	2500	652
1755198529	0,00	5	0,00	0,00
1755198560	0.0	0.0	2500	652
1755198560	0,00	5	0,00	0,00
1755198591	0.0	0.0	2500	652
1755198591	0,00	5	0,00	0,00
1755198622	0.0	0.0	2500	652
1755198622	0,00	5	0,00	0,00
1755198653	0.0	0.0	2500	652
1755198653	0,00	5	0,00	0,00
1755198685	0.0	0.0	2500	652
1755198685	0,00	5	0,00	0,00
1755198716	0.0	0.0	2500	652
1755198716	0,00	5	0,00	0,00
1755198747	0.0	0.0	2500	652
1755198747	0,00	5	0,00	0,00
1755198778	0.0	0.0	2500	652
1755198778	0,00	5	0,00	0,00
1755198809	0.0	0.0	2500	652
1755198809	0,00	5	0,00	0,00
1755198840	0.0	0.0	2500	652
1755198840	0,00	5	0,00	0,00
1755198871	0.0	0.0	2500	652
1755198871	0,00	5	0,00	0,00
1755198902	0.0	0.0	2500	652
1755198902	0,00	5	0,00	0,00
1755198934	0.0	0.0	2500	652
1755198934	0,00	5	0,00	0,00
1755198965	0.0	0.0	2500	652
1755198965	0,00	5	0,00	0,00
1755198996	0.0	0.0	2500	652
1755198996	0,00	5	0,00	0,00
1755199027	0.0	0.0	2500	652
1755199027	0,00	5	0,00	0,00
1755199058	0.0	0.0	2500	652
1755199058	0,00	5	0,00	0,00
