Rodando fsm-lite v2_0 saida TXT: para 100 amostras com 600 de maximo as 2025-08-03_23-33-48.
timestamp	cpu	mem	vsz	rss
1754274828	0.0	0.0	2500	648
1754274828	0,00	57	0,00	0,00
1754274859	0.0	0.0	2500	648
1754274859	0,00	57	0,00	0,00
1754274890	0.0	0.0	2500	648
1754274890	0,00	57	0,00	0,00
1754274921	0.0	0.0	2500	648
1754274921	0,00	57	0,00	0,00
1754274952	0.0	0.0	2500	648
1754274952	0,00	57	0,00	0,00
1754274984	0.0	0.0	2500	648
1754274984	0,00	57	0,00	0,00
1754275015	0.0	0.0	2500	648
1754275015	0,00	57	0,00	0,00
1754275046	0.0	0.0	2500	648
1754275046	0,00	57	0,00	0,00
1754275077	0.0	0.0	2500	648
1754275077	0,00	57	0,00	0,00
1754275108	0.0	0.0	2500	648
1754275108	0,00	57	0,00	0,00
1754275139	0.0	0.0	2500	648
1754275139	0,00	57	0,00	0,00
1754275170	0.0	0.0	2500	648
1754275170	0,00	57	0,00	0,00
1754275202	0.0	0.0	2500	648
1754275202	0,00	57	0,00	0,00
1754275233	0.0	0.0	2500	648
1754275233	0,00	57	0,00	0,00
1754275264	0.0	0.0	2500	648
1754275264	0,00	57	0,00	0,00
1754275295	0.0	0.0	2500	648
1754275295	0,00	57	0,00	0,00
1754275326	0.0	0.0	2500	648
1754275326	0,00	57	0,00	0,00
1754275357	0.0	0.0	2500	648
1754275357	0,00	57	0,00	0,00
1754275388	0.0	0.0	2500	648
1754275388	0,00	57	0,00	0,00
1754275419	0.0	0.0	2500	648
1754275419	0,00	57	0,00	0,00
1754275451	0.0	0.0	2500	648
1754275451	0,00	57	0,00	0,00
1754275482	0.0	0.0	2500	648
1754275482	0,00	57	0,00	0,00
1754275513	0.0	0.0	2500	648
1754275513	0,00	57	0,00	0,00
1754275544	0.0	0.0	2500	648
1754275544	0,00	57	0,00	0,00
1754275575	0.0	0.0	2500	648
1754275575	0,00	57	0,00	0,00
1754275606	0.0	0.0	2500	648
1754275606	0,00	57	0,00	0,00
1754275637	0.0	0.0	2500	648
1754275637	0,00	57	0,00	0,00
1754275668	0.0	0.0	2500	648
1754275668	0,00	57	0,00	0,00
1754275700	0.0	0.0	2500	648
1754275700	0,00	57	0,00	0,00
1754275731	0.0	0.0	2500	648
1754275731	0,00	57	0,00	0,00
1754275762	0.0	0.0	2500	648
1754275762	0,00	57	0,00	0,00
