Rodando fsm-lite v2_0 saida GZ: para 100 amostras com 600 de maximo as 2025-08-03_23-49-53.
timestamp	cpu	mem	vsz	rss
1754275793	0.0	0.0	9640	2208
1754275793	0,00	66	0,00	0,00
1754275824	0.0	0.0	9640	2208
1754275824	0,00	66	0,00	0,00
1754275855	0.0	0.0	9640	2208
1754275855	0,00	66	0,00	0,00
1754275886	0.0	0.0	9640	2208
1754275886	0,00	66	0,00	0,00
1754275918	0.0	0.0	9640	2208
1754275918	0,00	66	0,00	0,00
1754275949	0.0	0.0	9640	2208
1754275949	0,00	66	0,00	0,00
1754275980	0.0	0.0	9640	2208
1754275980	0,00	66	0,00	0,00
1754276011	0.0	0.0	9640	2208
1754276011	0,00	66	0,00	0,00
1754276042	0.0	0.0	9640	2208
1754276042	0,00	66	0,00	0,00
1754276073	0.0	0.0	9640	2208
1754276073	0,00	66	0,00	0,00
1754276104	0.0	0.0	9640	2208
1754276104	0,00	66	0,00	0,00
1754276135	0.0	0.0	9640	2208
1754276135	0,00	66	0,00	0,00
1754276167	0.0	0.0	9640	2208
1754276167	0,00	66	0,00	0,00
1754276198	0.0	0.0	9640	2208
1754276198	0,00	66	0,00	0,00
1754276229	0.0	0.0	9640	2208
1754276229	0,00	66	0,00	0,00
1754276260	0.0	0.0	9640	2208
1754276260	0,00	66	0,00	0,00
1754276291	0.0	0.0	9640	2208
1754276291	0,00	66	0,00	0,00
1754276322	0.0	0.0	9640	2208
1754276322	0,00	66	0,00	0,00
1754276353	0.0	0.0	9640	2208
1754276353	0,00	66	0,00	0,00
1754276385	0.0	0.0	9640	2208
1754276385	0,00	66	0,00	0,00
1754276416	0.0	0.0	9640	2208
1754276416	0,00	66	0,00	0,00
1754276447	0.0	0.0	9640	2208
1754276447	0,00	66	0,00	0,00
1754276478	0.0	0.0	9640	2208
1754276478	0,00	66	0,00	0,00
1754276509	0.0	0.0	9640	2208
1754276509	0,00	66	0,00	0,00
1754276540	0.0	0.0	9640	2208
1754276540	0,00	66	0,00	0,00
1754276571	0.0	0.0	9640	2208
1754276571	0,00	66	0,00	0,00
1754276602	0.0	0.0	9640	2208
1754276602	0,00	66	0,00	0,00
1754276634	0.0	0.0	9640	2208
1754276634	0,00	66	0,00	0,00
1754276665	0.0	0.0	9640	2208
1754276665	0,00	66	0,00	0,00
1754276696	0.0	0.0	9640	2208
1754276696	0,00	66	0,00	0,00
