Rodando fsm-lite v2_2 saida GZ: para 100 amostras com 600 de maximo as 2025-08-04_19-53-54.
timestamp	cpu	mem	vsz	rss
1754348034	0.0	0.0	9640	1660
1754348034	0,00	23	0,00	0,00
1754348065	0.0	0.0	9640	1660
1754348065	0,00	23	0,00	0,00
1754348096	0.0	0.0	9640	1660
1754348096	0,00	23	0,00	0,00
1754348128	0.0	0.0	9640	1660
1754348128	0,00	23	0,00	0,00
1754348159	0.0	0.0	9640	1660
1754348159	0,00	23	0,00	0,00
1754348190	0.0	0.0	9640	1660
1754348190	0,00	23	0,00	0,00
1754348221	0.0	0.0	9640	1660
1754348221	0,00	23	0,00	0,00
1754348252	0.0	0.0	9640	1660
1754348252	0,00	23	0,00	0,00
1754348283	0.0	0.0	9640	1660
1754348283	0,00	23	0,00	0,00
1754348314	0.0	0.0	9640	1660
1754348314	0,00	23	0,00	0,00
1754348345	0.0	0.0	9640	1660
1754348345	0,00	23	0,00	0,00
1754348377	0.0	0.0	9640	1660
1754348377	0,00	23	0,00	0,00
1754348408	0.0	0.0	9640	1660
1754348408	0,00	23	0,00	0,00
1754348439	0.0	0.0	9640	1660
1754348439	0,00	23	0,00	0,00
1754348470	0.0	0.0	9640	1660
1754348470	0,00	23	0,00	0,00
1754348501	0.0	0.0	9640	1660
1754348501	0,00	23	0,00	0,00
1754348532	0.0	0.0	9640	1660
1754348532	0,00	23	0,00	0,00
1754348563	0.0	0.0	9640	1660
1754348563	0,00	23	0,00	0,00
1754348595	0.0	0.0	9640	1660
1754348595	0,00	23	0,00	0,00
1754348626	0.0	0.0	9640	1660
1754348626	0,00	23	0,00	0,00
1754348657	0.0	0.0	9640	1660
1754348657	0,00	23	0,00	0,00
1754348688	0.0	0.0	9640	1660
1754348688	0,00	23	0,00	0,00
1754348719	0.0	0.0	9640	1660
1754348719	0,00	23	0,00	0,00
1754348750	0.0	0.0	9640	1660
1754348750	0,00	23	0,00	0,00
1754348781	0.0	0.0	9640	1660
1754348781	0,00	23	0,00	0,00
1754348813	0.0	0.0	9640	1660
1754348813	0,00	23	0,00	0,00
1754348844	0.0	0.0	9640	1660
1754348844	0,00	23	0,00	0,00
1754348875	0.0	0.0	9640	1660
1754348875	0,00	23	0,00	0,00
1754348906	0.0	0.0	9640	1660
1754348906	0,00	23	0,00	0,00
1754348937	0.0	0.0	9640	1660
1754348937	0,00	23	0,00	0,00
