Rodando fsm-lite v2_5 saida TXT: para 25 amostras com 600 de maximo as 2025-08-12_11-35-55.
timestamp	cpu	mem	vsz	rss
1755009355	0.0	0.0	2500	708
1755009355	0,00	17	0,00	0,00
1755009386	0.0	0.0	2500	708
1755009386	0,00	17	0,00	0,00
1755009417	0.0	0.0	2500	708
1755009417	0,00	17	0,00	0,00
1755009448	0.0	0.0	2500	708
1755009448	0,00	17	0,00	0,00
1755009479	0.0	0.0	2500	708
1755009479	0,00	17	0,00	0,00
1755009510	0.0	0.0	2500	708
1755009510	0,00	17	0,00	0,00
1755009542	0.0	0.0	2500	708
1755009542	0,00	17	0,00	0,00
